OutcomeID,CandidateID,ProgramCompletion,JobPlacement,TimeToPlacement,FeedbackScore
74595108-5861-44bd-9bab-3285f2fc9963,75a7225b-3a02-454e-9498-343b35cf19ad,True,False,,5
8885a69e-272d-44cf-8f07-438fd7167c5b,d88d4323-ef4b-4e3f-8e81-58e129c12196,True,True,89.0,10
06d25856-9c84-44cf-aea9-d0cfd7537c11,896b23d0-6c05-416b-88db-f22064210f18,False,False,,5
a3eb9df2-c17a-44c8-8f5d-7f0c7fe72366,6f3fce8a-67bd-45b7-bbe7-6b879fa659f7,True,False,,8
c25c7913-1db8-431c-9add-dec866068bc2,addf4ce2-ce3a-4c92-8619-d6f6403bc655,True,True,19.0,9
d8ac805d-389b-407a-a898-ecbea95c3680,39e57423-4c45-44f0-9993-27d0cecfda85,False,False,,8
bdbe57fe-84c2-48dc-a115-ec2894df2b5b,f6653a0e-8889-441f-919a-07b01a7c4e59,False,False,,5
d4a2bc3b-fd73-40cb-a299-4ab478b4e876,11b78c9b-76ae-423c-83d7-0eda0240e10f,True,False,,6
c6d00511-d97d-47f4-8bac-40526bc85d1e,de719468-e1e5-4bcd-a15b-9e1426de7d3a,True,True,57.0,10
fe0b31e6-a492-46f3-bd53-2f03158cbde8,75e8614d-d7c3-4538-adb6-5248c25fe234,False,False,,7
1724353e-0284-41e4-8619-e1b4000c1d2b,3a645614-4467-4922-87a9-019a878a569a,False,False,,4
68046db8-662e-4b11-ae75-6d68d3c004e9,105a3c88-9345-4949-abd8-eda28e3a6f9e,True,True,10.0,10
adc3d5ed-beee-4e52-9437-311c0bcd5d15,b1f87f5e-1711-433e-a902-c1f1c895ae22,True,True,60.0,7
28d42a29-1245-4bcb-913a-b693c8e03b40,b819fda9-675c-4cb3-8fba-d4395e2a188b,False,False,,8
3e603baa-83f7-460d-bc4c-22e45e174a3e,e9483740-0cb0-4f2f-a7f6-185ede9c70cc,False,False,,5
ad843eef-3b64-414a-81de-1300bc9bcc08,397ffaaf-3165-4e27-a34b-ddf57ddcb7f5,False,False,,2
63c6c2ab-66f3-481f-98b2-2c928569dda8,5dbd5b84-056d-49bb-927c-54de320968bc,False,False,,5
4fff63a6-3cdf-4f2b-afc7-2ed2019fa152,57674182-8c1d-402a-81c6-96ab4a25de29,False,False,,4
cd9d91b8-7a25-45f1-bd95-001cda2666d9,4b8983fb-086f-49e5-b0f9-18cabe84c44c,True,False,,8
8829357d-3bc8-4fd8-b666-46f6b351a83c,4c370a83-a101-448c-abca-e87c384bd203,False,False,,5
f4ff5be8-ca17-4c5b-acb7-b94784fbd426,f938566b-1836-468b-bffb-5da8444ba31e,False,True,97.0,3
3e0b4a9d-c766-4fde-ab0d-373c25c36d23,18957943-f95f-49c4-a067-90f98f9cb9a7,True,True,50.0,7
70bc03a9-c278-41c1-8a6c-53272aa14a2b,adc1b194-ea8b-4e51-83fe-6284118261eb,False,False,,2
966ded02-590a-4e9c-8379-990b1577c537,2399fe5e-18ab-4884-8acd-283e7a4a37a6,False,False,,6
aed2d859-1d75-4e59-b042-42c45b0e41c3,70f28c9c-7695-4898-8e9c-e9a04e7ca2d9,False,False,,4
0bd78f48-c83c-4125-8eb7-0aa4e94c7d0d,93d3bff1-611e-4167-8de6-2fb583f9f555,False,False,,3
b4a84188-91dc-44fb-9fe0-9b53f1395e36,3cda5997-c5f7-4551-af44-b8448bf47035,True,True,66.0,8
ab5a3600-a9b9-41da-85db-f765e0142862,57e6f1ef-0389-45f2-a23f-f7b871643838,True,False,,6
27dd1ed7-92d3-417a-b960-68248fd5b04f,a82efee5-c89e-40de-a973-3faa52539222,True,True,91.0,10
d6cf4ddf-5829-4732-a5de-fda3903a96ab,84be07a7-4446-42ff-8fa9-1eddc164b8f8,True,True,101.0,8
fa0bf337-39f9-4b1f-8f0e-e0f6f47015ac,fbb4bbfa-9160-4b84-962c-bcb363f46e33,False,False,,6
cd73a8ec-bdd8-461e-9a0a-6dc58cc1e4c7,5de6ef0f-3599-47e9-8128-18a724fdfbdb,False,False,,8
1bfadac7-9386-4062-a33b-92ea7f462900,5217dd60-577e-4627-b619-82bf69ccbf46,True,True,42.0,7
c9a3d32f-5444-4683-a944-ce32ddc3c04d,4491a996-e64f-4eae-91c1-5dee5af1f830,True,True,109.0,8
194a8a24-8c04-45ba-a140-89deb7558c9f,5d3c3486-6c3e-46f1-ab57-ef4a5f617165,False,False,,4
98b3bff4-4c75-4b6b-8388-eee751222c38,f682574f-007b-4715-a417-c250e4f35d5e,False,False,,3
bd481775-ca49-421e-8968-8af2cfe9b4c9,fafbe412-4946-46b2-9895-c344009b8419,False,False,,4
c17309ba-36a8-4ebf-a1bc-da2c2ea88cb2,352fd1a7-957b-48dc-8918-6da189f19814,False,False,,6
a49ac4e6-54c4-412c-95ab-0242730e3942,2d056cad-9218-4e63-9563-2bdbb1fdf7e8,False,False,,6
b3cb17c5-e7ea-4224-b15b-e68707080ffa,31440c7a-fa66-4946-8adb-89699635ddce,False,False,,7
517dc895-10c1-414a-9411-4f1a9f77482d,5315748e-1a69-46e3-9e8a-7d6955f5c6b0,False,False,,5
3bde2bd4-302b-4c86-b256-52a59d5c737b,9ab21965-e1ce-4376-9ae5-b055150ab87c,False,False,,5
ddcfd529-d6de-489e-92f0-d29f6207b4af,cd0740ed-95e7-402b-9189-8a16070e21c2,False,False,,6
aaf1611b-4d70-4507-9f7d-7002a9595cd8,ba7a5e5c-204c-4360-9965-004117a246fc,False,False,,3
f6350e29-0006-479e-8d11-0e24dc6657ee,bd8c1848-21ba-4d62-8b95-b901c2fdef1f,False,False,,7
851cd70b-ccb5-4660-ab3f-4ae5c06d35c3,d9dbef38-cbd3-438b-a694-0f0cc896e849,False,True,24.0,5
e874df47-928b-4c1b-8f39-74b91492aa49,43d633f0-9221-4b84-9f24-ac2984a4dc34,True,True,46.0,7
f10507ae-5d03-47c5-9db3-445a9c798475,ad8e568f-bad4-4e95-8a96-533b59fc6ee9,False,False,,6
c8c71cd2-10a9-4279-89de-0a6648ac54fb,1314afe1-28dd-40e1-8618-e79ffddca720,True,True,56.0,10
1d6ebc16-c7be-49e7-8bc1-1ab9e0422b7b,efc7b0d3-31bb-4ac9-8f85-7d1270340891,True,True,80.0,10
a053b2f3-dd0e-4b3e-806d-464ee7a11dbe,37c8db4e-0eb8-461c-8319-1f42d91918a9,True,True,69.0,8
f8f464df-1cbf-4f1f-ac11-4c493ab3964c,8cbab4bc-f6cb-4f6d-8ce5-a69714740060,False,False,,6
481ecda9-0eeb-4d29-9a15-d5ea006c98c0,6926d854-ac99-45eb-9c78-ea2c6e9010b8,True,True,30.0,9
67962623-5cba-45c2-acd8-ffe17c61d8ea,902943ea-9a08-4719-85eb-923cf49933d9,True,False,,9
18551e9a-a227-422f-bcf1-3b48c3016b2d,6a4493e9-061c-445a-a216-dd3c381c2e17,True,True,52.0,7
01e1860c-7825-4057-96fb-713827815cf1,0194452c-1dd5-4702-ba0f-a90661227220,True,True,31.0,10
fd9aaba3-baf8-47dc-b379-b879e69fe338,d7d3b65a-345c-43f0-957a-7588aa3190e1,True,False,,9
2a1ce40d-dda7-40a1-8672-85af840148e8,93b4dfac-ce66-436e-adc4-fc60f38729d3,True,False,,8
2dd2c8e4-7536-455f-b334-fdd121b5d041,c52077d2-79c1-4b2e-9876-c890d36429cb,True,False,,8
7abf4a9f-9302-4acb-bd28-73249de03891,e4009686-ddb4-4bec-a72f-86820bdf4e7a,False,False,,6
d20d7d68-4bb2-493f-bc4f-c91ecc5ba627,0d6742c7-50ee-45cc-b4ce-7082793a8b20,False,False,,3
ca28847c-23ba-417e-93e1-4537800c6c20,f9c0e342-eb08-406e-844a-ae78f4cc208b,True,True,108.0,8
33c2c5fd-72ad-4264-9468-ea8017eeb0ce,bacca144-10ba-419d-9924-f5b0e3c66aa4,False,False,,5
c1e9a539-95c3-4d54-b455-b3a327827834,3324ae5e-7d0a-4cf0-95dc-90a7eeed97b4,True,True,43.0,8
ca5d5acf-689e-4097-9b02-d596f591269e,111b7003-65c6-4e3a-b04f-88a3dd78fba0,True,False,,9
47af9fd1-4fd3-4168-ab8b-f3f98f4c9a46,e4fb57d9-b5e2-40ec-9b7e-2603a41b7555,True,False,,8
a2318599-b6f2-46f6-9fac-46be2f6afe3a,c35fb501-b30b-40aa-a5f3-491ca986130d,True,True,21.0,7
2e8c4141-2668-473c-a375-0ce9f5c769fa,cca5f3dd-4f9d-46d4-8a92-44240e22c89c,True,True,76.0,9
e5ac7610-bd30-4426-a09f-f579bbec31a4,187b4af4-14a5-45d2-bc44-5379cd599e7a,True,True,103.0,7
60e67296-a9a9-419b-ae4a-5c857d0c6b2f,fe70d797-11bb-4e80-a561-7af9de0a801e,True,False,,8
3d4c0f30-44c1-4b64-b6df-92197d480eac,778eee59-8969-465b-baf8-85d585ee0731,True,True,61.0,7
0216f7c2-8b07-41b2-9db5-bbb8538f9c57,5388dbc6-aafe-4adc-92d0-595820b9e1e6,False,False,,8
72e78561-f569-48fe-bfc7-1936a9b58868,27740195-a021-4197-9cec-2d2a741ee341,True,False,,7
